,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
5688089,2017-06-11 14:55:05,2017-06-11 15:08:21,795,Suffolk St & Stanton St,W Broadway & Spring St,Subscriber,Male,1998.0
4096714,2017-06-11 15:30:11,2017-06-11 15:41:43,692,Lexington Ave & E 63 St,1 Ave & E 78 St,Subscriber,Male,1981.0
2173887,2017-06-29 13:26:26,2017-06-29 13:48:31,1325,1 Pl & Clinton St,Henry St & Degraw St,Subscriber,Male,1987.0
3945638,2017-06-08 19:47:18,2017-06-08 19:59:01,703,Barrow St & Hudson St,W 20 St & 8 Ave,Subscriber,Female,1986.0
6208972,2017-06-21 07:49:16,2017-06-21 07:54:46,329,1 Ave & E 44 St,E 53 St & 3 Ave,Subscriber,Male,1992.0
1285652,2017-06-22 18:55:24,2017-07-22 19:12:03,998,State St & Smith St,Bond St & Fulton St,Subscriber,Male,1986.0
1675753,2017-06-06 16:22:53,2017-07-06 16:30:51,478,Front St & Gold St,Lafayette Ave & Fort Greene Pl,Subscriber,Male,1982.0
1692245,2017-06-07 07:42:24,2017-08-07 08:49:42,4038,E 89 St & York Ave,Broadway & Battery Pl,Subscriber,Male,1984.0
2271331,2017-06-02 08:02:36,2017-06-03 09:28:08,5132,Central Park S & 6 Ave,Central Park S & 6 Ave,Customer,,
1558339,2017-06-01 23:01:31,2017-07-01 23:06:41,309,E 3 St & 1 Ave,E 25 St & 2 Ave,Subscriber,Male,1992.0
2287178,2017-09-02 14:37:20,2017-10-02 14:56:12,1131,Bank St & Washington St,Little West St & 1 Pl,Customer,,
2744874,2017-04-13 13:40:39,2017-04-13 13:45:59,319,Front St & Maiden Ln,Liberty St & Broadway,Subscriber,Male,1955.0
3398180,2017-04-27 23:27:31,2017-04-28 00:05:53,2301,E 10 St & 5 Ave,Columbus Ave & W 72 St,Subscriber,Male,1971.0
